Item_Identifier,Item_Weight,Item_MRP,Item_Outlet_Sales
FDH19,19.35,172.5738,4865.6664
FDZ03,13.65,186.024,1118.544
DRH37,17.6,164.8526,2302.3364
NCI17,8.645,95.841,2027.361
FDJ58,15.6,170.1764,3435.528
FDL12,15.85,59.222,599.22
FDH35,18.25,164.7526,4604.6728
FDG02,7.855,189.6188,2285.0256
NCZ18,7.825,254.3698,5580.7356
FDC29,8.39,114.0176,2290.352
FDQ10,12.85,172.3422,1207.0954
FDN48,,89.9804,643.1628
FDL04,19,104.9622,1587.933
FDV25,5.905,222.5456,5305.0944
FDD58,7.76,101.87,1697.79
FDN04,11.8,180.3344,1427.4752
FDV45,16.75,187.9556,4693.89
NCL18,,194.6136,583.2408
FDR12,,171.3764,3091.9752
FDG20,15.5,177.0028,2479.4392
FDZ55,6.055,160.992,2716.464
FDQ49,,155.963,3285.723
FDN33,6.305,95.6436,661.8052
FDN27,20.85,117.2808,1523.3504
FDW20,20.75,122.173,369.519
DRG27,8.895,39.9138,690.4346
DRI25,19.6,55.1614,1381.535
FDA44,19.7,57.893,622.523
NCR17,9.8,114.5492,1274.3412
FDU04,,120.0414,487.3656
FDF41,12.15,246.046,1231.73
FDB56,8.75,187.4556,3755.112
NCP18,,149.9708,4363.6532
FDB56,8.75,187.8556,1314.2892
FDT28,13.3,151.0708,1805.6496
FDD10,,178.5344,2854.9504
FDW57,8.31,179.1028,3896.2616
DRB48,16.75,38.7822,667.7974
FDP09,19.75,212.0902,3185.853
FDH14,17.1,141.1838,2247.7408
FDA47,10.5,163.121,1794.331
FDG12,6.635,121.3098,2530.7058
DRE60,,225.372,679.116
DRK49,14.15,41.4138,812.276
FDD03,13.3,232.53,699.09
FDS52,8.89,102.4016,2732.4432
FDW39,,176.937,176.437
FDX34,,121.7098,4097.3332
FDV11,9.1,173.2054,3151.8972
FDD17,7.5,239.0906,5942.265
FDZ16,16.85,192.4478,4843.695
FDZ46,7.485,109.0228,2542.0244
DRA12,11.6,140.3154,2552.6772
FDY58,11.65,227.0694,1141.847
NCF19,13,47.5034,680.4476
DRJ13,12.65,159.0578,2085.9514
FDB14,20.25,92.512,186.424
FDJ38,8.6,190.153,3036.048
FDW11,12.6,62.7194,866.8716
FDL40,17.7,95.041,868.869
DRI49,14.15,82.4276,1137.1864
FDV38,19.25,52.7956,928.1252
DRG23,8.88,151.7682,762.341
NCP30,20.5,40.2822,707.0796
FDY25,,180.5976,7968.2944
NCH54,13.5,160.292,1438.128
NCR53,,224.4404,6976.2524
FDS52,8.89,101.7016,101.2016
FDG02,7.855,188.5188,952.094
NCO26,7.235,116.0492,1969.4364
FDH35,,165.4526,5262.4832
FDB51,6.92,60.5852,1314.2892
FDX44,9.3,90.8172,535.3032
NCN07,18.5,132.1284,263.6568
NCC31,8.02,154.5972,1402.1748
NCX54,9.195,105.1622,1693.7952
NCO55,12.8,105.5938,2143.876
NCC30,16.6,177.6344,2676.516
FDI16,14,53.064,905.488
FDP16,18.6,246.3802,7370.406
FDB11,16,226.8404,6301.1312
NCB06,17.6,160.692,1597.92
FDA45,21.25,178.237,529.311
NCO26,7.235,117.5492,1969.4364
DRJ25,14.6,50.3692,1034.6532
FDR28,13.85,161.521,1794.331
FDI04,13.65,197.6426,2768.3964
DRK12,,31.29,898.83
FDX20,7.365,226.172,3169.208
NCI18,18.35,223.5746,3589.9936
FDB36,5.465,132.5626,262.3252
FDN13,18.6,99.8358,1910.1802
DRD24,13.85,140.9154,1701.7848
FDQ28,14,154.5656,2471.4496
FDM22,14,54.764,1331.6
FDR07,,97.0094,1808.9786
FDV25,5.905,222.5456,3315.684
DRF49,7.27,114.2518,2618.5914
FDW51,6.155,214.556,2769.728
DRL01,19.5,233.4958,5375.0034
FDP25,15.2,216.8824,2838.9712
FDL50,12.15,125.0046,1743.0644
NCB30,,198.8084,5555.4352
FDW11,12.6,61.9194,619.194
NCM43,14.5,164.821,2120.573
FDK44,16.6,173.0738,3823.0236
FDM15,11.8,151.4366,1360.2294
FDS31,13.1,178.8318,3969.4996
FDI32,17.7,115.1834,345.5502
FDR47,17.85,196.5794,585.2382
FDB35,12.3,92.6804,1010.6844
NCU05,11.8,81.4618,161.1236
DRY23,,42.1112,42.6112
FDO24,11.1,157.4604,3010.7476
FDQ28,,153.0656,6024.1584
FDV39,11.3,198.1426,988.713
NCO17,,117.944,239.688
FDU50,5.75,112.8176,1374.2112
FDT12,,226.8062,4739.8302
FDK58,11.35,100.0016,1012.016
FDO08,,165.7526,657.8104
NCW29,14,130.431,778.986
FDE04,19.75,179.766,2336.958
NCB19,6.525,85.0882,2233.0932
FDV15,10.3,103.9648,1661.8368
FDL58,5.78,264.7568,4745.8224
FDA08,11.85,164.1526,3124.5994
FDT43,16.35,50.1324,467.3916
NCX06,,182.5976,5070.7328
FDT20,10.5,37.6164,540.6296
FDB41,19,48.0718,992.7078
NCN55,14.6,238.8538,6008.845
FDE40,,62.9194,2105.2596
FDX49,,232.63,5359.69
NCM53,18.75,104.628,745.696
FDE36,5.26,161.8868,3275.736
FDN57,18.25,140.2154,1701.7848
FDI24,,177.937,6704.606
FDI19,15.1,242.7512,4119.9704
FDF24,15.5,81.5934,327.5736
FDG52,13.65,45.7402,780.9834
DRF36,16.1,189.3846,3630.6074
FDS45,,107.3622,317.5866
FDX40,12.85,39.7164,231.6984
DRK12,9.5,32.99,133.16
DRC27,13.8,245.1802,5650.6446
FDL58,5.78,263.7568,2636.568
NCD30,19.7,96.0726,1272.3438
NCZ54,14.65,161.5552,324.9104
FDE10,6.67,130.0626,131.1626
FDR44,6.11,131.2968,260.9936
FDP28,13.65,260.0936,260.9936
FDX15,17.2,160.6578,3690.5294
FDA39,6.32,40.2822,1139.1838
FDY24,4.88,52.9298,1995.4026
FDC60,5.425,88.3514,1416.8224
FDH28,15.85,37.2506,265.6542
FDT25,7.5,121.7072,3552.7088
DRJ13,12.65,161.5578,2406.867
NCO07,,211.956,213.056
FDW20,20.75,124.173,2956.152
DRF27,,152.134,153.134
FDS49,9,79.7644,1649.8524
FDX25,,181.9292,3101.2964
NCX42,,165.6526,4769.1254
FDG33,,170.4764,3435.528
FDL56,14.1,86.4198,1133.8574
FDF14,7.55,152.334,2603.278
NCD06,13,45.406,605.878
DRM47,,192.8846,2293.0152
FDS46,,118.7782,119.1782
FDB35,12.3,92.9804,1929.4884
FDX21,,109.8912,2074.6328
NCU05,,79.9618,241.6854
NCR38,17.25,251.3724,6795.1548
NCR18,15.85,42.7112,639.168
NCU41,18.85,192.1846,3248.4382
FDY56,16.35,227.6062,7222.5984
DRJ51,14.1,229.0668,3225.1352
FDK21,7.905,249.0408,3755.112
FDY25,12,179.3976,3440.8544
FDU44,12.15,163.4552,974.7312
FDL43,10.1,75.367,535.969
FDF05,17.5,262.491,5259.82
DRF15,,152.034,306.268
FDL20,17.1,112.3886,1779.0176
FDV32,7.785,61.451,759.012
FDJ34,11.8,125.9704,1877.556
FDG08,13.15,171.8764,3779.0808
FDQ04,,41.5796,41.2796
FDW13,8.5,51.1324,259.662
NCI17,8.645,96.341,193.082
FDY03,17.6,110.9202,1687.803
FDS12,9.1,127.5362,4655.9394
FDJ55,12.8,225.9404,4950.8888
DRK01,7.63,95.4436,1418.154
FDG28,9.285,246.4144,1225.072
FDY38,13.6,231.03,5359.69
FDN01,8.895,176.237,1764.37
NCR54,16.35,195.211,2553.343
FDG29,17.6,43.3454,1006.6896
FDG24,7.975,85.225,1081.925
FDG59,15.85,36.7164,308.9312
FDM28,15.7,178.666,2516.724
FDW04,8.985,128.831,1428.141
FDS26,20.35,260.1594,2093.2752
FDQ56,6.59,85.6908,1929.4884
FDK51,19.85,264.0884,5829.7448
FDL22,16.85,91.4488,2082.6224
FDH19,,173.1738,7298.4996
FDY55,16.75,256.4988,7452.9652
FDY03,17.6,110.5202,450.0808
FDK21,7.905,250.4408,500.6816
FDZ10,,126.202,3668.558
FDZ32,7.785,103.1964,736.3748
NCZ18,7.825,253.0698,6088.0752
NCF07,,101.0016,2125.2336
DRE49,20.75,153.0024,2277.036
FDJ08,,190.3846,573.2538
FDT39,6.26,151.1366,2267.049
FDE08,18.2,147.3734,296.9468
NCD06,13,46.306,559.272
FDB57,20.25,222.1772,5559.43
NCT54,8.695,95.5094,1237.7222
DRF49,7.27,113.5518,569.259
FDM25,,174.0712,3866.9664
FDF20,12.85,198.4768,1379.5376
FDH27,7.075,142.7128,1869.5664
FDV60,,196.211,5499.508
FDY59,8.195,94.3462,925.462
FDK36,7.09,47.9034,583.2408
NCM31,6.095,141.4154,1418.154
FDE33,19.35,80.2644,942.7728
FDU36,6.15,99.3384,2364.9216
FDV13,,87.9856,3251.7672
FDV20,,125.2678,254.3356
NCQ54,17.7,167.0474,5895.659
FDO23,17.85,93.7436,1134.5232
DRE60,9.395,224.972,7696.648
DRP47,15.75,250.5382,2775.7202
FDB21,7.475,241.2854,5317.0788
FDR04,7.075,98.0068,874.8612
FDX23,6.445,92.6436,1039.9796
FDX19,19.1,235.0958,3038.0454
FDD40,20.25,193.6162,3848.324
FDA01,15,59.1904,527.3136
FDS33,6.67,89.1514,2390.8878
FDM50,,60.222,1677.816
FDB29,16.7,112.7176,801.6232
FDF46,7.07,115.5834,1267.0174
FDA33,6.48,148.0076,886.8456
FDC08,19,228.272,452.744
FDB53,13.35,147.5392,3877.6192
FDY31,,146.6418,4414.254
DRQ35,,122.4388,5448.9072
FDX36,9.695,223.9404,4950.8888
DRD13,15,62.6168,958.752
FDC52,11.15,149.9708,1956.1204
FDB45,20.85,103.2306,2404.2038
NCK19,9.8,194.3478,387.4956
FDV51,16.35,165.0842,994.7052
FDZ35,9.6,101.299,1754.383
NCW17,,129.9994,3340.9844
FDV59,13.35,216.7166,3918.8988
DRH39,20.7,76.367,306.268
FDN60,,158.4604,4278.4308
FDU55,16.2,260.6278,4425.5726
FDN58,,230.9984,9267.936
FDC41,,76.867,229.701
FDO01,,129.3994,2055.9904
NCO43,5.5,101.3016,3339.6528
FDQ07,15.1,221.7456,6410.3224
FDF28,15.7,122.9046,1992.0736
FDM01,7.895,104.4332,2870.9296
FDY49,,164.5184,2807.0128
FDR24,17.35,88.183,539.298
NCY18,7.285,174.3054,4377.635
NCY30,20.25,180.9976,2716.464
FDJ22,,190.9504,383.5008
DRI37,15.85,59.5904,703.0848
FDL27,6.17,66.3826,1937.478
NCO30,19.5,182.2608,3307.6944
NCB07,19.2,197.611,3142.576
FDX25,16.7,181.2292,2554.0088
FDP59,20.85,104.0648,1869.5664
FDR59,14.5,260.4594,5494.8474
FDT27,11.395,233.1616,6093.4016
DRI01,7.97,174.0422,2586.633
FDU09,7.71,55.2956,1255.6988
FDH26,19.25,141.7496,4093.3384
FDH27,7.075,142.2128,3163.8816
FDN39,,166.0816,5033.448
FDH40,11.6,79.9276,1137.1864
FDJ56,,98.77,2696.49
DRN47,12.1,178.566,898.83
NCO17,10,118.244,2756.412
FDX60,14.35,81.896,878.856
FDT22,10.395,58.222,659.142
FDX26,,182.6292,182.4292
FDG45,8.1,211.4902,3610.6334
FDD44,8.05,256.4646,5153.292
FDS15,9.195,108.7596,2588.6304
FDL51,20.7,212.5876,1286.3256
FDL32,15.7,110.1544,1230.3984
FDZ07,,60.2194,1733.7432
NCW53,,193.8162,384.8324
NCA54,16.5,180.0318,3969.4996
FDX09,9,176.437,7763.228
FDO51,6.785,41.2112,809.6128
FDW49,19.5,178.6002,1253.7014
FDB27,7.575,195.2768,5715.2272
FDF45,18.2,57.7904,1464.76
FDV02,16.75,169.8106,3251.1014
FDY28,7.47,214.3218,4274.436
FDX31,,231.7958,5375.0034
FDR43,,38.019,1318.284
FDP51,13.85,119.4124,2251.7356
FDL52,6.635,37.4506,1176.4686
FDR44,6.11,130.4968,3523.4136
FDB34,15.25,86.2198,610.5386
FDC50,15.85,96.4094,1237.7222
FDT57,15.2,235.1248,474.0496
FDP22,,52.6666,717.7324
DRE49,20.75,150.5024,2580.6408
FDM40,10.195,143.2154,2552.6772
FDY32,7.605,164.021,3914.904
FDW07,18,88.5514,796.9626
FDU02,,228.9352,916.1408
NCF18,18.35,191.3504,3259.7568
FDQ56,6.59,84.8908,1677.816
FDN58,13.8,230.0984,3707.1744
FDG35,21.2,173.5738,2954.1546
FDY34,10.5,166.4842,2652.5472
NCE19,8.97,52.7956,1037.3164
NCK31,,50.9666,717.7324
NCJ29,10.6,86.1224,426.112
FDT59,13.65,231.1668,6911.004
NCX41,19,211.0244,3811.0392
FDU45,,115.3518,2277.036
FDW24,,48.9034,48.6034
FDF22,6.865,212.8218,5770.4886
FDM60,10.8,40.2138,690.4346
FDR02,16.7,110.2886,1890.2062
DRP35,,126.2336,3195.84
FDS48,15.15,150.1708,1504.708
NCZ42,10.5,238.3248,711.0744
FDZ38,17.6,174.2422,4311.055
FDH19,19.35,175.4738,521.3214
NCB55,15.7,59.4562,829.5868
FDC15,18.1,155.5288,1571.288
FDF11,10.195,239.6538,2403.538
FDW35,,41.6454,83.8908
FDB44,6.655,211.0586,844.2344
NCC06,19,127.3336,2940.1728
FDR04,7.075,98.0068,291.6204
FDB17,13.15,181.2976,3259.7568
FDW43,20.1,226.8036,3415.554
FDA27,20.35,256.7672,5624.6784
NCU41,18.85,190.1846,6687.961
FDY56,16.35,227.1062,5642.655
FDV39,11.3,196.2426,4943.565
FDN32,17.5,182.6266,3135.2522
FDW07,18,87.4514,796.9626
FDZ27,7.935,51.535,848.895
FDW23,,37.3164,38.6164
FDU01,20.25,184.5924,4997.4948
FDF10,15.5,149.1418,588.5672
DRH03,,91.812,372.848
FDW27,,155.7314,155.1314
DRI13,15.35,218.0508,3038.7112
NCR05,10.1,200.2084,1587.2672
FDB29,16.7,115.4176,687.1056
FDL51,20.7,213.4876,1929.4884
FDB11,16,223.8404,3600.6464
FDI35,14,180.7634,2181.1608
FDX08,12.85,181.4318,3428.2042
FDP59,20.85,105.6648,623.1888
NCJ18,12.35,120.5124,2133.2232
FDJ41,6.85,261.6594,3401.5722
FDU08,10.3,101.0042,1289.6546
FDS09,,49.6008,50.6008
DRH15,8.775,45.9428,790.9704
NCV17,18.85,129.2626,3147.9024
NCO54,,56.7614,2486.763
FDE24,14.85,141.0812,1139.8496
FDH53,20.5,84.3592,1816.3024
FDZ13,7.84,51.935,199.74
FDW28,18.25,196.7452,978.726
FDU46,10.3,85.854,2683.174
NCE43,12.5,169.9448,2897.5616
FDS26,,260.5594,9158.079
FDB14,20.25,93.212,1957.452
DRB48,,40.2822,1296.3126
NCC42,15,140.3838,2528.7084
FDQ20,8.325,38.7138,284.2966
FDA13,15.85,38.6506,759.012
FDZ15,13.1,117.3782,1787.673
NCV42,6.26,111.3228,2431.5016
DRI51,17.25,173.1764,4466.1864
FDO28,5.765,119.9098,2048.6666
NCS54,13.6,175.437,1940.807
FDH16,10.5,88.783,2067.309
FDG24,7.975,85.125,2663.2
FDR52,12.65,192.1846,1146.5076
NCH06,12.3,247.846,3448.844
FDA36,5.985,184.8924,1665.8316
FDU56,,184.7266,8114.7704
FDT09,15.15,132.5284,1713.7692
FDU25,12.35,56.4246,810.9444
FDK41,14.3,84.9224,1193.1136
NCT54,8.695,93.4094,856.8846
FDV51,16.35,163.8842,165.7842
FDM24,6.135,151.3366,1057.9562
NCO30,19.5,185.0608,2205.1296
FDQ45,9.5,182.3608,2940.1728
DRK59,8.895,235.8616,3046.7008
FDW28,18.25,196.8452,3327.6684
FDC02,21.35,258.3278,520.6556
FDR21,19.7,174.837,2999.429
FDN48,,90.0804,2113.2492
FDT44,16.6,117.8466,942.7728
FDX14,,74.0354,75.2354
FDH57,10.895,133.6284,1581.9408
FDH28,,37.4506,37.9506
NCT41,,151.3024,151.8024
FDO11,,248.8092,3486.1288
NCP42,8.51,195.2478,4262.4516
FDN09,14.15,243.9828,731.0484
FDP32,6.65,128.8678,1398.8458
FDV57,15.25,177.966,2336.958
FDW28,18.25,196.5452,2348.9424
FDR56,,196.8768,7094.7648
FDA40,16,87.4856,1054.6272
NCG42,19.2,127.831,1298.31
NCK54,12.15,117.815,2330.3
FDE16,8.895,208.9954,4584.6988
FDB15,10.895,263.4568,527.3136
FDC40,16,76.1986,1869.5664
FDE53,,106.928,2876.256
FDK24,9.195,43.6744,407.4696
FDW31,11.35,201.0742,2189.8162
NCX29,10,144.0102,1603.9122
NCM07,9.395,82.4908,2013.3792
DRN36,,95.9752,95.8752
FDQ37,20.75,192.8478,774.9912
FDK43,9.8,128.402,2403.538
FDK28,5.695,258.5646,4380.2982
FDR43,18.2,37.819,219.714
FDL48,19.35,49.2034,729.051
DRL23,18.35,106.6938,1393.5194
NCX42,6.36,163.6526,5262.4832
DRD37,9.8,46.506,372.848
FDZ47,,99.9042,3273.7386
NCJ54,,231.7642,5344.3766
FDL52,6.635,39.7506,303.6048
FDC15,18.1,156.7288,314.2576
NCD19,8.93,56.0614,276.307
FDD08,8.3,38.9506,721.0614
NCN18,8.895,112.7544,3467.4864
FDY56,16.35,225.9062,5416.9488
NCI29,8.6,140.5154,283.6308
NCE06,,160.2894,323.5788
FDC08,19,227.772,5206.556
FDU52,7.56,157.263,2503.408
FDN16,12.6,104.899,1960.781
NCM55,15.6,184.7924,370.1848
FDR49,8.71,49.5376,95.8752
FDC15,18.1,158.1288,3299.7048
FDB53,13.35,150.2392,2684.5056
FDK44,16.6,173.3738,2085.2856
FDA16,6.695,221.9456,2210.456
FDO19,,47.4034,2187.153
FDO04,16.6,57.2614,1049.9666
NCL19,15.35,145.047,2719.793
FDA44,19.7,54.593,56.593
FDR60,14.3,78.6328,231.6984
FDV37,,195.8426,5734.5354
FDG53,10,138.718,1398.18
DRG01,14.8,76.467,1531.34
FDB38,,160.692,319.584
FDI27,8.71,43.8744,633.8416
FDD29,12.15,252.0698,1014.6792
NCR41,17.85,97.0094,2094.6068
FDW44,9.5,171.3448,2386.2272
FDU21,11.8,34.7558,780.9834
FDI14,14.1,139.8496,1693.7952
FDW50,,168.4158,334.2316
FDN39,19.35,168.3816,1342.2528
FDT31,19.75,190.6872,4916.2672
FDJ14,10.3,78.696,1757.712
NCQ43,,108.5912,1637.868
FDZ22,,84.925,1747.725
FDU38,10.8,193.4504,2876.256
FDS32,17.75,139.9838,1966.7732
DRH13,8.575,106.328,958.752
DRF03,19.1,40.2138,81.2276
FDJ20,20.7,123.4388,1238.388
FDE22,,157.892,319.584
FDX22,6.785,211.0928,4418.2488
DRM11,6.57,259.7278,2863.6058
FDL58,5.78,264.9568,1845.5976
FDL25,6.92,93.1804,1561.9668
FDD40,20.25,194.1162,3848.324
FDT08,13.65,149.005,2097.27
FDO22,13.5,81.596,639.168
NCM41,16.5,92.612,559.272
FDJ21,16.7,146.5102,2770.3938
FDC53,8.68,99.7384,295.6152
DRK35,,36.2506,37.9506
FDQ09,7.235,115.2834,1267.0174
DRB48,16.75,39.3822,353.5398
DRE25,15.35,92.112,1118.544
FDL08,10.8,245.9144,4655.2736
NCV42,6.26,110.2228,1547.3192
FDW03,5.63,105.3306,1045.306
FDL25,6.92,91.8804,275.6412
FDC17,12.15,212.0928,2735.1064
FDK44,16.6,175.5738,347.5476
FDE34,9.195,182.7634,3817.0314
FDP10,19,104.3622,1905.5196
FDZ22,9.395,83.825,665.8
NCK19,9.8,192.1478,2324.9736
FDO44,,109.2228,3205.1612
NCU41,18.85,189.1846,2101.9306
NCF31,9.13,152.3024,1821.6288
FDG14,9,152.2024,3643.2576
NCH30,17.1,114.586,2942.836
FDR36,6.715,40.2454,587.2356
NCJ30,5.82,167.779,2886.243
FDR08,18.7,110.2886,2223.772
FDU04,7.93,123.2414,487.3656
NCQ50,18.75,211.7218,5770.4886
FDL46,,117.7466,1414.1592
DRK37,5,188.853,5502.837
FDK48,7.445,76.8354,2181.8266
FDV58,20.85,193.9452,1565.9616
FDN27,20.85,115.1808,1054.6272
FDZ52,19.2,112.9886,1667.829
NCF42,17.35,175.6712,2812.3392
FDQ48,14.3,98.1726,489.363
FDW49,19.5,179.3002,2865.6032
FDR58,6.675,90.7462,1665.8316
NCE07,8.18,143.8154,2694.4926
FDK14,6.98,83.4934,1555.9746
FDC11,,87.9172,3836.3396
FDL22,16.85,90.7488,543.2928
NCQ41,14.8,196.3794,1950.794
FDX46,12.3,57.3562,177.7686
FDC35,7.435,206.9638,1035.319
FDH45,15.1,42.8796,949.4308
FDX33,9.195,160.5578,1283.6624
DRJ35,10.1,59.9878,484.7024
FDC40,16,79.5986,934.7832
FDO19,17.7,48.1034,534.6374
FDP13,8.1,39.448,878.856
FDP24,20.6,120.1756,1332.9316
NCQ42,20.35,127.9678,3560.6984
FDY59,8.195,93.1462,647.8234
FDU14,17.75,248.675,4993.5
FDB21,7.475,240.6854,1691.7978
FDT32,19,188.7214,1695.7926
FDK20,12.6,124.0072,4042.7376
FDX09,,174.837,4763.799
FDM01,7.895,102.6332,1640.5312
DRI37,,58.7904,1288.9888
FDL20,17.1,112.3886,2334.9606
FDU13,8.355,148.5418,2207.127
FDE05,,145.2102,437.4306
FDE58,18.5,118.4124,2370.248
FDT32,,189.9214,5087.3778
FDZ01,8.975,101.899,103.199
FDM08,10.1,224.4088,4697.8848
FDS58,9.285,158.6578,2406.867
FDZ26,11.6,238.3222,5736.5328
FDC46,,183.4266,7192.6374
FDY51,12.5,220.7798,6611.394
FDL34,16,142.3496,3246.4408
DRG39,14.15,51.6982,1262.3568
NCG43,20.2,94.1462,1758.3778
FDT01,13.65,211.5902,4672.5844
NCR38,17.25,253.1724,3775.086
DRF01,5.655,147.4102,2478.7734
FDF53,20.75,182.2318,3067.3406
FDS45,5.175,105.4622,3281.7282
FDR20,20,46.2744,1086.5856
FDY07,11.8,46.5402,229.701
FDD38,16.75,102.8674,1528.011
DRF15,18.35,155.034,1990.742
FDH32,12.8,95.141,868.869
NCJ42,19.75,103.0332,1230.3984
FDB56,8.75,187.6556,938.778
FDD03,13.3,234.03,4194.54
NCL18,18.85,194.6136,1166.4816
FDW22,9.695,222.9114,5764.4964
FDE32,20.7,37.5506,113.8518
FDA34,,174.408,7443.644
FDJ08,11.1,191.7846,3057.3536
FDG38,8.975,83.3224,3579.3408
FDD29,12.15,253.1698,1522.0188
NCE31,7.67,35.4216,450.0808
FDS19,13.8,76.9012,607.2096
FDU11,4.785,120.1098,1325.6078
FDL02,20,105.3622,1270.3464
FDO51,,43.4112,1107.8912
DRK23,8.395,254.104,3542.056
FDO27,6.175,95.2752,1534.0032
FDB16,8.21,89.2198,1308.297
FDA44,19.7,55.393,1471.418
NCB18,19.6,89.6514,1239.7196
NCL53,7.5,175.3028,3896.2616
FDR16,5.845,214.4218,1496.0526
NCQ05,11.395,151.6708,3460.8284
FDF44,7.17,132.1968,2870.9296
FDU50,5.75,114.7176,1259.6936
FDG20,15.5,178.2028,177.1028
FDD58,7.76,99.77,798.96
FDT01,13.65,212.9902,3185.853
FDK15,10.8,98.3042,1488.063
FDJ08,11.1,189.2846,5159.2842
FDS10,,182.0318,5954.2494
FDJ55,12.8,226.8404,4500.808
FDU32,8.785,123.0414,121.8414
FDG09,20.6,185.9556,4318.3788
FDE39,7.89,121.0782,3456.1678
FDU56,16.85,185.8266,1659.8394
NCH55,16.35,127.402,759.012
FDX33,,159.4578,4974.1918
FDR24,17.35,87.983,1707.777
FDC33,,197.3768,7488.9184
NCV54,,116.8124,2488.7604
NCQ02,12.6,186.7556,2816.334
NCU17,5.32,101.4674,2954.1546
NCZ06,,255.2698,761.0094
FDV37,13,199.4426,593.2278
DRH25,,50.2324,1298.31
NCI43,19.85,46.3376,1150.5024
NCQ53,17.6,237.159,3072.667
NCT18,14.6,181.7976,3259.7568
FDF14,7.55,152.734,2756.412
FDM14,13.8,106.9254,2930.1858
FDX57,17.25,99.2068,97.2068
NCV05,10.1,153.1656,1544.656
FDX39,14.3,212.5586,3165.879
FDA23,9.8,100.6016,1619.2256
NCV06,11.3,194.4478,387.4956
NCE31,7.67,36.3216,415.4592
DRI39,13.8,55.893,226.372
FDH21,10.395,160.0604,1267.6832
FDR26,20.7,175.8028,1593.9252
FDA14,,147.176,585.904
FDG21,17.35,149.605,3745.125
NCQ38,16.35,104.828,1810.976
FDN20,19.35,167.0474,2358.2636
NCN29,15.2,50.3034,145.8102
FDI28,14.3,78.2302,554.6114
FDA03,,146.8102,3499.4448
FDZ28,20,127.3678,1780.3492
FDO52,,172.1106,2566.659
FDU10,10.1,38.2848,1230.3984
FDP13,,41.548,918.804
FDV02,,170.7106,3079.9908
FDS28,8.18,56.9588,744.3644
FDW49,19.5,179.8002,716.4008
FDP33,18.7,254.7672,5113.344
FDJ03,12.35,48.5692,886.8456
FDQ51,16,45.5718,1039.9796
DRK23,8.395,253.704,4554.072
FDU11,4.785,119.7098,1807.647
NCK06,5.03,122.6756,2665.8632
FDY09,15.6,174.3054,1751.054
NCY18,7.285,173.6054,2626.581
FDA10,20.35,120.9072,1470.0864
FDO34,17.7,165.9816,4362.3216
FDE38,,164.3842,4476.1734
FDF40,20.25,248.4092,2241.0828
FDY02,8.945,264.791,4733.838
FDS03,,66.0826,258.3304
FDB59,18.25,199.0084,3174.5344
NCQ42,20.35,127.6678,2924.8594
FDO15,16.75,72.3038,960.7494
DRN47,12.1,178.166,539.298
FDA03,18.5,144.2102,2041.3428
FDA01,15,58.5904,996.0368
FDB38,19.5,158.992,1757.712
FDT59,13.65,230.6668,1842.9344
